main_line_code,main_line_tw,sub_line_tw,station_legend,station_no,station_id,station_name_tw,station_alias_tw,station_address_tw,station_map_url_tw,station_longitude,station_latitude
O,中和新蘆線,新莊線,O,14,O14,菜寮,新北市立醫院,241007新北市三重區重新路3段150號B1 ,https://web.metro.taipei/c/googlemap.asp?Longitude=121.491421&Latitude=25.059451,121.491421,25.059451
O,中和新蘆線,新莊線,O,15,O15,三重,,241012新北市三重區捷運路36號B1,https://web.metro.taipei/c/googlemap.asp?Longitude=121.48422&Latitude=25.05571,121.48422,25.05571
O,中和新蘆線,新莊線,O,16,O16,先嗇宮,,241017新北市三重區重新路5段515號B1,https://web.metro.taipei/c/googlemap.asp?Longitude=121.47165&Latitude=25.04632,121.47165,25.04632
O,中和新蘆線,新莊線,OY,17,O17,頭前庄,臺北醫院,242035新北市新莊區思源路18號B1,https://web.metro.taipei/c/googlemap.asp?Longitude=121.461655&Latitude=25.039735,121.461655,25.039735
O,中和新蘆線,新莊線,O,18,O18,新莊,新莊廟街,242008新北市新莊區中正路138號B1,https://web.metro.taipei/c/googlemap.asp?Longitude=121.45218&Latitude=25.03608,121.45218,25.03608
O,中和新蘆線,新莊線,O,19,O19,輔大,,242062新北市新莊區中正路510之1號B1,https://web.metro.taipei/c/googlemap.asp?Longitude=121.435735&Latitude=25.03279,121.435735,25.03279
O,中和新蘆線,新莊線,O,20,O20,丹鳳,,242048新北市新莊區中正路624之1號B1,https://web.metro.taipei/c/googlemap.asp?Longitude=121.422422&Latitude=25.029073,121.422422,25.029073
O,中和新蘆線,新莊線,O,21,O21,迴龍,樂生,242052新北市新莊區中正路758號B1,https://web.metro.taipei/c/googlemap.asp?Longitude=121.411757&Latitude=25.022107,121.411757,25.022107
O,中和新蘆線,蘆洲線,O,50,O50,三重國小,,241054新北市三重區三和路3段5號B1,https://web.metro.taipei/c/googlemap.asp?Longitude=121.49701&Latitude=25.070275,121.49701,25.070275
O,中和新蘆線,蘆洲線,O,51,O51,三和國中,,241080新北市三重區三和路4段107號B1,https://web.metro.taipei/c/googlemap.asp?Longitude=121.486795&Latitude=25.07646,121.486795,25.07646
O,中和新蘆線,蘆洲線,O,52,O52,徐匯中學,,247019新北市蘆洲區中山一路3號B1,https://web.metro.taipei/c/googlemap.asp?Longitude=121.479945&Latitude=25.080485,121.479945,25.080485
O,中和新蘆線,蘆洲線,O,53,O53,三民高中,空中大學,247010新北市蘆洲區三民路105號B1,https://web.metro.taipei/c/googlemap.asp?Longitude=121.473365&Latitude=25.085425,121.473365,25.085425
O,中和新蘆線,蘆洲線,O,54,O54,蘆洲,蘆洲李宅,247011新北市蘆洲區三民路386號B1,https://web.metro.taipei/c/googlemap.asp?Longitude=121.46471&Latitude=25.09152,121.46471,25.09152
BL,板南線,土城線,BL,01,BL01,頂埔,,236040新北市土城區中央路4段51之6號B3,https://web.metro.taipei/c/googlemap.asp?Longitude=121.4205&Latitude=24.96012,121.4205,24.96012
BL,板南線,土城線,BL,02,BL02,永寧,,236036新北市土城區中央路3段105號B1,https://web.metro.taipei/c/googlemap.asp?Longitude=121.43613&Latitude=24.96682,121.43613,24.96682
BL,板南線,土城線,BL,03,BL03,土城,,236017新北市土城區金城路1段105號B1,https://web.metro.taipei/c/googlemap.asp?Longitude=121.44432&Latitude=24.97313,121.44432,24.97313
BL,板南線,土城線,BL,04,BL04,海山,新北高工,236023新北市土城區海山路39號B2,https://web.metro.taipei/c/googlemap.asp?Longitude=121.44873&Latitude=24.985305,121.44873,24.985305
BL,板南線,土城線,BL,05,BL05,亞東醫院,,220056新北市板橋區南雅南路2段17號B1,https://web.metro.taipei/c/googlemap.asp?Longitude=121.452465&Latitude=24.99828,121.452465,24.99828
BL,板南線,板橋線,BL,06,BL06,府中,林家花園,220052新北市板橋區縣民大道1段193號B1,https://web.metro.taipei/c/googlemap.asp?Longitude=121.459276&Latitude=25.008465,121.459276,25.008465
BL,板南線,板橋線,BL,07,BL07,板橋,,220073新北市板橋區站前路5號B1,https://web.metro.taipei/c/googlemap.asp?Longitude=121.462305&Latitude=25.013825,121.462305,25.013825
BL,板南線,板橋線,BL,08,BL08,新埔,,220030新北市板橋區民生路3段2號B1,https://web.metro.taipei/c/googlemap.asp?Longitude=121.468055&Latitude=25.02327,121.468055,25.02327
BL,板南線,板橋線,BL,09,BL09,江子翠,,220016新北市板橋區文化路2段296號B1,https://web.metro.taipei/c/googlemap.asp?Longitude=121.47257&Latitude=25.030265,121.47257,25.030265
BL,板南線,板橋線,BL,10,BL10,龍山寺,艋舺商圈,108015臺北市萬華區西園路1段153號,https://web.metro.taipei/c/googlemap.asp?Longitude=121.500325&Latitude=25.03528,121.500325,25.03528
BL,板南線,南港線,BLG,11,BL11,西門,,100005臺北市中正區寶慶路32之1號B1,https://web.metro.taipei/c/googlemap.asp?Longitude=121.508175&Latitude=25.042025,121.508175,25.042025
BL,板南線,南港線,BLR,12,BL12,台北車站,,100009臺北市中正區忠孝西路1段49號,https://web.metro.taipei/c/googlemap.asp?Longitude=121.517415&Latitude=25.04631,121.517415,25.04631
BL,板南線,南港線,BL,13,BL13,善導寺,華山,100024臺北市中正區忠孝東路1段58號B1,https://web.metro.taipei/c/googlemap.asp?Longitude=121.523885&Latitude=25.04468,121.523885,25.04468
BL,板南線,南港線,BLO,14,BL14,忠孝新生,台北科大,106083臺北市大安區新生南路1段67號,https://web.metro.taipei/c/googlemap.asp?Longitude=121.53321&Latitude=25.042498,121.53321,25.042498
BL,板南線,南港線,BLBR,15,BL15,忠孝復興,,106071臺北市大安區忠孝東路4段47號,https://web.metro.taipei/c/googlemap.asp?Longitude=121.545026&Latitude=25.041749,121.545026,25.041749
BL,板南線,南港線,BL,16,BL16,忠孝敦化,,106057臺北市大安區忠孝東路4段182號,https://web.metro.taipei/c/googlemap.asp?Longitude=121.55045&Latitude=25.041505,121.55045,25.041505
BL,板南線,南港線,BL,17,BL17,國父紀念館,,110054臺北市信義區忠孝東路4段400號,https://web.metro.taipei/c/googlemap.asp?Longitude=121.557815&Latitude=25.04137,121.557815,25.04137
BL,板南線,南港線,BL,18,BL18,市政府,,110060臺北市信義區忠孝東路5段2號,https://web.metro.taipei/c/googlemap.asp?Longitude=121.565685&Latitude=25.041135,121.565685,25.041135
BL,板南線,南港線,BL,19,BL19,永春,,110037臺北市信義區忠孝東路5段455號,https://web.metro.taipei/c/googlemap.asp?Longitude=121.5762&Latitude=25.040855,121.5762,25.040855
BL,板南線,南港線,BL,20,BL20,後山埤,五分埔商圈,115025臺北市南港區忠孝東路6段2號,https://web.metro.taipei/c/googlemap.asp?Longitude=121.58227&Latitude=25.044715,121.58227,25.044715
BL,板南線,南港線,BL,21,BL21,昆陽,,115007臺北市南港區忠孝東路6段451號,https://web.metro.taipei/c/googlemap.asp?Longitude=121.5932285&Latitude=25.0504585,121.5932285,25.0504585
BL,板南線,南港線,BL,22,BL22,南港,,115011臺北市南港區忠孝東路7段380號,https://web.metro.taipei/c/googlemap.asp?Longitude=121.60697&Latitude=25.052035,121.60697,25.052035
BL,板南線,南港線,BLBR,23,BL23,南港展覽館,,115021臺北市南港區研究院路1段1號,https://web.metro.taipei/c/googlemap.asp?Longitude=121.616861&Latitude=25.054919,121.616861,25.054919
Y,環狀線,新北環狀線,YG,07,Y07,大坪林,,231007新北市新店區北新路3段190號,https://web.metro.taipei/c/googlemap.asp?Longitude=121.54134&Latitude=24.9827205,121.54134,24.9827205
Y,環狀線,新北環狀線,Y,08,Y08,十四張,,231023新北市新店區民權路282號,https://web.metro.taipei/c/googlemap.asp?Longitude=121.527698&Latitude=24.984333,121.527698,24.984333
Y,環狀線,新北環狀線,Y,09,Y09,秀朗橋,,235085新北市中和區景平路2號,https://web.metro.taipei/c/googlemap.asp?Longitude=121.5250505&Latitude=24.9905493,121.5250505,24.9905493
